wl,LightSet,Watts/sr/m2,Color
388,White100,9.0428e-05,White
388,White20,2.2801e-05,White
388,White30,0,White
388,White40,0,White
388,White50,0,White
388,White60,5.5802e-05,White
388,White70,6.2724e-05,White
388,White80,7.4111e-05,White
388,White90,7.3072e-05,White
389,Red10,0.00011328,Red
389,Red100,5.5459e-05,Red
389,Red20,0.00011462,Red
389,Red30,2.4168e-06,Red
389,Red40,5.236e-05,Red
389,Red50,5.1321e-05,Red
389,Red60,4.3538e-05,Red
389,Red70,7.9425e-05,Red
389,Red80,4.0204e-05,Red
389,Red90,8.1588e-05,Red
389,White10,1.3954e-05,White
389,White100,9.3146e-05,White
389,White20,2.4213e-05,White
389,White30,0,White
389,White40,0,White
389,White50,0,White
389,White60,5.4462e-05,White
389,White70,6.6196e-05,White
389,White80,6.4533e-05,White
389,White90,6.9067e-05,White
390,Red10,0.00013873,Red
390,Red100,0.00013036,Red
390,Red20,0.00010955,Red
390,Red30,6.0082e-05,Red
390,Red40,5.7619e-05,Red
390,Red50,0.00014098,Red
390,Red60,4.2772e-05,Red
390,Red70,5.2334e-05,Red
390,Red80,9.8877e-05,Red
390,Red90,0.00012713,Red
390,White10,1.6724e-05,White
390,White100,8.5982e-05,White
390,White20,2.4328e-05,White
390,White30,0,White
390,White40,0,White
390,White50,0,White
390,White60,5.096e-05,White
390,White70,6.5255e-05,White
390,White80,6.2103e-05,White
390,White90,6.6963e-05,White
391,Red10,0.00015318,Red
391,Red100,0.00012371,Red
391,Red20,3.0979e-05,Red
391,Red30,0,Red
391,Red40,2.1634e-05,Red
391,Red50,9.1025e-05,Red
391,Red60,3.2317e-05,Red
391,Red70,0,Red
391,Red80,6.7976e-05,Red
391,Red90,8.5477e-05,Red
391,White10,1.5502e-05,White
391,White100,7.3874e-05,White
391,White20,2.642e-05,White
391,White30,0,White
391,White40,0,White
391,White50,0,White
391,White60,5.3541e-05,White
391,White70,6.987e-05,White
391,White80,6.0949e-05,White
391,White90,7.5141e-05,White
392,Red10,0.00012425,Red
392,Red100,7.8634e-05,Red
392,Red20,0,Red
392,Red30,0,Red
392,Red40,4.9317e-06,Red
392,Red50,1.4448e-05,Red
392,Red60,1.1696e-05,Red
392,Red70,0,Red
392,Red80,3.4833e-05,Red
392,Red90,2.1862e-05,Red
392,White10,1.3053e-05,White
392,White100,7.023e-05,White
392,White20,2.6683e-05,White
392,White30,0,White
392,White40,0,White
392,White50,0,White
392,White60,6.6195e-05,White
392,White70,5.9961e-05,White
392,White80,5.9734e-05,White
392,White90,7.2352e-05,White
393,Red10,0.00010027,Red
393,Red100,0.00011291,Red
393,Red20,1.6119e-05,Red
393,Red30,2.8764e-05,Red
393,Red40,4.6353e-05,Red
393,Red50,8.1279e-06,Red
393,Red60,0,Red
393,Red70,1.2516e-05,Red
393,Red80,6.6156e-05,Red
393,Red90,7.2909e-05,Red
393,White10,1.7064e-05,White
393,White100,8.3438e-05,White
393,White20,2.7438e-05,White
393,White30,0,White
393,White40,0,White
393,White50,0,White
393,White60,7.0371e-05,White
393,White70,6.1381e-05,White
393,White80,6.0396e-05,White
393,White90,6.7459e-05,White
394,Red10,0.00012276,Red
394,Red100,0.00010234,Red
394,Red20,0,Red
394,Red30,7.317e-05,Red
394,Red40,3.1185e-05,Red
394,Red50,3.6443e-06,Red
394,Red60,0,Red
394,Red70,4.0427e-05,Red
394,Red80,5.3068e-05,Red
394,Red90,8.8652e-05,Red
394,White10,1.6548e-05,White
394,White100,7.4442e-05,White
394,White20,2.7811e-05,White
394,White30,0,White
394,White40,0,White
394,White50,0,White
394,White60,5.7557e-05,White
394,White70,5.9437e-05,White
394,White80,5.6426e-05,White
394,White90,7.3143e-05,White
395,Red10,8.9792e-05,Red
