filename,site,condition,mean_dsu,median_dsu,sd_dsu,mean_dsu_g,iso,aperture_f,exposure_s
grte10_distance_dark_p3.CR2,GRTE10,dark,2.6752957273156976,2.6802453801175896,4.368155208872394,2.643766573228917,3200.0,3.5,30.0
grte11_distance_dark_p1.CR2,GRTE11,dark,4.3292098488585875,4.19378019399245,5.256805838859641,4.338883335738283,3200.0,3.5,30.0
grte11_distance_dark_p2.CR2,GRTE11,dark,4.33541001942105,4.2012624650440245,5.095290159231564,4.344658681707617,3200.0,3.5,30.0
grte11_distance_dark_p3.CR2,GRTE11,dark,4.333236924168349,4.198511847138913,5.197353569507015,4.342104288665615,3200.0,3.5,30.0
grte11_distance_white100_p1.CR2,GRTE11,white100,68.0987917673728,7.727413511060452,472.97522991550693,61.81250977199038,3200.0,3.5,30.0
grte11_distance_white100_p2.CR2,GRTE11,white100,4.906437995132939,4.660542363354811,9.548535196561263,4.818988163256247,3200.0,3.5,30.0
grte11_distance_white100_p3.CR2,GRTE11,white100,4.823263970079914,4.685067643784319,5.231662679557916,4.7774360116929655,3200.0,3.5,30.0
grte13_distance_dark_p1.CR2,GRTE13,dark,2.7844508316596777,2.712452275957291,5.814319148110593,2.7496009824591736,3200.0,3.5,30.0
grte13_distance_dark_p2.CR2,GRTE13,dark,2.787750083001334,2.7156511938552246,5.407885253037104,2.7517330920817056,3200.0,3.5,30.0
grte13_distance_dark_p3.CR2,GRTE13,dark,2.784020196820893,2.713375866559553,5.756982606872099,2.749984153119807,3200.0,3.5,30.0
grte13_distance_white100_p1.CR2,GRTE13,white100,2.98720148707776,2.9693458631041705,5.432835804029016,2.921813756723905,3200.0,3.5,30.0
grte13_distance_white100_p2.CR2,GRTE13,white100,2.9923361964116393,2.9655175917244683,5.482049900668652,2.9255835993044537,3200.0,3.5,30.0
grte13_distance_white100_p3.CR2,GRTE13,white100,2.98674380181822,2.9645773351759486,5.360898369446606,2.922615629046816,3200.0,3.5,30.0
grte14_distance_dark_p1.CR2,GRTE14,dark,24.0262538495376,4.422471599041124,304.04899721289786,22.345954279111236,3200.0,3.5,30.0
grte14_distance_dark_p2.CR2,GRTE14,dark,24.066868084007652,4.429509905967679,304.9349409717941,22.386859601467936,3200.0,3.5,30.0
grte14_distance_dark_p3.CR2,GRTE14,dark,24.03106339896423,4.414329867280566,304.54732493925366,22.340307715922396,3200.0,3.5,30.0
grte14_distance_white100_p1.CR2,GRTE14,white100,9.592757199906329,4.336625430867279,45.86433775341677,9.030383342388568,3200.0,3.5,30.0
grte14_distance_white100_p2.CR2,GRTE14,white100,9.67885700510493,4.3341932799438965,46.73894817734888,9.14047390889881,3200.0,3.5,30.0
grte14_distance_white100_p3.CR2,GRTE14,white100,9.473112951320488,4.299004294030103,46.01756836777396,8.962242571350766,3200.0,3.5,30.0
grte15_distance_dark_p1.CR2,GRTE15,dark,3.3561771932836053,3.3500825268255756,8.224066819980575,3.350008879596481,3200.0,3.5,30.0
grte15_distance_dark_p2.CR2,GRTE15,dark,3.3182919239232964,3.3436353012384736,7.67838775300422,3.316677807355712,3200.0,3.5,30.0
grte15_distance_dark_p3.CR2,GRTE15,dark,4.963863877431892,3.365310911750302,88.37431505342177,4.886367600802312,3200.0,3.5,30.0
grte15_distance_white100_p1.CR2,GRTE15,white100,3.6317230053361986,3.5575680274599315,6.174874772197486,3.555445557923946,3200.0,3.5,30.0
grte15_distance_white100_p2.CR2,GRTE15,white100,3.6356622641082557,3.5609542535723624,6.215590310498443,3.5587549152258418,3200.0,3.5,30.0
grte15_distance_white100_p3.CR2,GRTE15,white100,3.624959877412034,3.5493649838269827,6.048326220328596,3.5407919254630507,3200.0,3.5,30.0
