color,dist_km,response,SE,df,lower_CL,upper_CL,species
W,0.7654293898355612,4.406545280518192,1.4060165603528922,Inf,2.3577701600898915,8.235595495244048,Lano
R,0.9567867372944515,5.178870208868458,1.591005512265575,Inf,2.8361984330373815,9.456565636552458,Lano
W,0.9567867372944515,4.331652181620152,1.3398369891895265,Inf,2.3624669663271054,7.9422107864244635,Lano
R,1.1481440847533417,5.090850770954665,1.5185373206370263,Inf,2.8371843637603082,9.134676583999115,Lano
W,1.1481440847533417,4.2580319565735065,1.2793355776788478,Inf,2.3629984595506643,7.672809125169247,Lano
R,1.339501432212232,5.004327300527637,1.453007796953428,Inf,2.8326903694036587,8.840815078592009,Lano
W,1.339501432212232,4.185662971771613,1.2246157978990713,Inf,2.358983423629527,7.4268323964329035,Lano
R,1.5308587796711224,4.919274372308891,1.3945256793091994,Inf,2.822284172371366,8.574352854667396,Lano
W,1.5308587796711224,4.11452396128994,1.1757630901098244,Inf,2.3500706616370133,7.20374399986613,Lano
R,1.7222161271300127,4.8356669931448195,1.343164484267372,Inf,2.805594823644953,8.334658686820223,Lano
W,1.7222161271300127,4.044594020636973,1.1328335169059105,Inf,2.335960181495542,7.003004983286599,Lano
R,1.913573474588903,4.75348059466238,1.2989474911413725,Inf,2.7823409849239638,8.121067074907536,Lano
W,1.913573474588903,3.9758526006113595,1.0958416458419051,Inf,2.3164260147964795,6.824048685697801,Lano
R,2.1049308220477934,4.672691026049552,1.2618331846539133,Inf,2.7523585674934172,7.932847733864978,Lano
W,2.1049308220477934,3.9082795012634284,1.0647488698440308,Inf,2.291338390108519,6.666256160999641,Lano
R,2.2962881695066835,4.593274546958529,1.2317030715588055,Inf,2.715624091218218,7.769179516400787,Lano
W,2.2962881695066835,3.841854865959355,1.0394536934507466,Inf,2.260682360704861,6.528935275318192,Lano
R,2.487645516965574,4.51520782052953,1.2083538764292197,Inf,2.672269937917055,7.629132586231945,Lano
W,2.487645516965574,3.7765591755462125,1.019785570719645,Inf,2.2245698618991914,6.411306496000981,Lano
R,2.679002864424464,4.438467906533148,1.1914957432247297,Inf,2.6225883808280983,7.511661952496089,Lano
W,2.679002864424464,3.7123732426161817,1.0055035712269476,Inf,2.183242751449173,6.3124978124144375,Lano
R,2.8703602118833547,4.36303225462929,1.1807572234109431,Inf,2.5670228770861216,7.4156138711719395,Lano
W,2.8703602118833547,3.6492782058682565,0.9963004785516966,Inf,2.137065661303731,6.231549954202518,Lano
R,3.0617175593422448,4.288878697740647,1.1756967040064956,Inf,2.5061472582836,7.33974447157245,Lano
W,3.0617175593422448,3.5872555245657716,0.991812037343889,Inf,2.0865091807481257,6.167431381209468,Lano
R,3.253074906801135,4.215985445538819,1.1758188384720627,Inf,2.4406355339942913,7.282747886533365,Lano
W,3.253074906801135,3.526286973088127,0.9916302077093729,Inf,2.032125525480583,6.1190608850948385,Lano
R,3.4444322542600254,4.144331078041136,1.1805938078729046,Inf,2.371226423667024,7.243289764735452,Lano
W,3.4444322542600254,3.4663546355751222,0.9953187052434214,Inf,1.9745199518727459,6.085334538238955,Lano
R,3.6357896017189155,4.0738945393163,1.1894770377831452,Inf,2.298687111150452,7.220041665072397,Lano
W,3.6357896017189155,3.4074409006622965,1.0024289406004765,Inf,1.9143214841625975,6.065153417313946,Lano
R,3.827146949177806,4.004655131297027,1.2019273055201454,Inf,2.2237801177901826,7.211712431605056,Lano
W,3.827146949177806,3.3495284563057695,1.0125147086332629,Inf,1.8521560652044482,6.057448986278418,Lano
R,4.018504296636697,3.9365925076978208,1.2174218118904252,Inf,2.1472359629384696,7.217073875036754,Lano
W,4.018504296636697,3.292600284695013,1.0251444758322974,Inf,1.7886242848713276,6.06120398032815,Lano
R,4.209861644095587,3.869686668036137,1.235467527258187,Inf,2.069732875563656,7.234979492075073,Lano
W,4.209861644095587,3.236639657252106,1.0399106944550296,Inf,1.7242847333156046,6.075467739456917,Lano
R,4.401218991554477,3.803917951755166,1.2556087624284442,Inf,1.9918836031413136,7.264376171813218,Lano
W,4.401218991554477,3.1816301297159697,1.0564360821708627,Inf,1.659643056554613,6.099365910240443,Lano
R,4.592576339013367,3.7392670324464854,1.277431360010265,Inf,1.914228524961942,7.304309677560119,Lano
W,4.592576339013367,3.1275555373101516,1.0743771659485994,Inf,1.5951461135802003,6.132105112932399,Lano
R,4.783933686472257,3.6757149121709234,1.3005641369453573,Inf,1.8372338418685563,7.3539251279055895,Lano
W,4.783933686472257,3.0743999899927434,1.0934255838477498,Inf,1.531180272996148,6.172973532353732,Lano
R,4.975291033931148,3.6132429158759383,1.3246782730130355,Inf,1.7612935056554064,7.412463809812027,Lano
W,4.975291033931148,3.022147867787027,1.113307696984429,Inf,1.4680727863236112,6.2213384921068755,Lano
R,5.166648381390038,3.5518326859078693,1.3494852920460239,Inf,1.6867336549078136,7.479257553186722,Lano
W,5.166648381390038,2.970783816191476,1.1337830313628319,Inf,1.4060952468586596,6.276642000079482,Lano
R,5.358005728848928,3.491466176617465,1.374734176934461,Inf,1.6138185346509797,7.553721686001197,Lano
W,5.358005728848928,2.920292741667771,1.1546419884912351,Inf,1.3454683044147195,6.338395091920955,Lano
R,5.549363076307818,3.4321256490571024,1.4002080363220795,Inf,1.5427571181289974,7.635347348260102,Lano
W,5.549363076307818,2.8706598072055076,1.17570316689377,Inf,1.2863669958793664,6.406171609737074,Lano
R,5.740720423766709,3.37379366576812,1.425720624445399,Inf,1.473709874433952,7.723693717902966,Lano
W,5.740720423766709,2.8218704279622773,1.1968105436733216,Inf,1.228926231556022,6.479601873357037,Lano
R,5.932077771225599,3.3164530856567445,1.4511129174538635,Inf,1.4067953139632896,7.818380513633953,Lano
W,5.932077771225599,2.773910266977847,1.2178306860500023,Inf,1.1732461293669167,6.55836654956373,Lano
