rec_key,site,id_445,id_30
GRTE01_20220723_020521,GRTE01,Laci,Laci
GRTE01_20220723_021417,GRTE01,Laci,Laci
GRTE01_20220723_033608,GRTE01,Myev,Myse
GRTE01_20220723_034549,GRTE01,Myvo,Myvo
GRTE01_20220723_035125,GRTE01,Mylu,Mylu
GRTE01_20220723_035217,GRTE01,Mylu,Mylu
GRTE01_20220723_040114,GRTE01,Myvo,Mylu
GRTE01_20220723_041747,GRTE01,Myvo,Myse
GRTE01_20220723_043217,GRTE01,Laci,Laci
GRTE01_20220723_043401,GRTE01,Mylu,Mylu
GRTE01_20220723_220000,GRTE01,Mylu,Mylu
GRTE01_20220723_224536,GRTE01,Myvo,Mylu
GRTE01_20220723_224558,GRTE01,Mylu,Mylu
GRTE01_20220723_232015,GRTE01,Laci,Laci
GRTE01_20220723_234709,GRTE01,Mylu,Labo
GRTE01_20220723_235700,GRTE01,Myev,Myse
GRTE01_20220723_235912,GRTE01,Laci,Laci
GRTE01_20220724_012707,GRTE01,Myvo,NoID
GRTE01_20220724_013630,GRTE01,Laci,Laci
GRTE01_20220724_014431,GRTE01,Mylu,Mylu
GRTE01_20220724_014727,GRTE01,Mylu,Mylu
GRTE01_20220724_032353,GRTE01,Mylu,NoID
GRTE01_20220724_042141,GRTE01,Mylu,Mylu
GRTE01_20220724_043015,GRTE01,Mylu,NoID
GRTE01_20220724_215733,GRTE01,Lano,Lano
GRTE01_20220724_231038,GRTE01,Mylu,Mylu
GRTE01_20220725_010451,GRTE01,Lano,Lano
GRTE01_20220725_011303,GRTE01,Lano,Lano
GRTE01_20220725_023526,GRTE01,Myvo,Myse
GRTE01_20220725_025037,GRTE01,Myvo,Mylu
GRTE01_20220725_042430,GRTE01,Mylu,Mylu
GRTE01_20220725_215718,GRTE01,Lano,Lano
GRTE01_20220725_223355,GRTE01,Mylu,Mylu
GRTE01_20220725_224103,GRTE01,Myvo,Myvo
GRTE01_20220725_225028,GRTE01,Myvo,NoID
GRTE01_20220725_232541,GRTE01,Mylu,Mylu
GRTE01_20220726_004537,GRTE01,Myev,Myse
GRTE01_20220726_014320,GRTE01,Mylu,Mylu
GRTE01_20220726_015704,GRTE01,Myvo,Mylu
GRTE01_20220726_022324,GRTE01,Lano,Lano
GRTE01_20220726_022805,GRTE01,Laci,Laci
GRTE01_20220726_030836,GRTE01,Mylu,Labo
GRTE01_20220726_040657,GRTE01,Lano,Lano
GRTE01_20220726_220654,GRTE01,Myvo,Mylu
GRTE01_20220726_225924,GRTE01,Lano,Lano
GRTE01_20220726_231608,GRTE01,Myvo,Mylu
GRTE01_20220726_233837,GRTE01,Mylu,NoID
GRTE01_20220726_234747,GRTE01,Laci,Laci
GRTE01_20220726_235210,GRTE01,Myvo,Myvo
GRTE01_20220727_003939,GRTE01,Mylu,Labo
GRTE01_20220727_010247,GRTE01,Myvo,Myse
GRTE01_20220727_013936,GRTE01,Lano,Lano
GRTE01_20220727_031049,GRTE01,Myev,Myse
GRTE01_20220727_223854,GRTE01,Epfu,Epfu
GRTE01_20220727_224240,GRTE01,Laci,Laci
GRTE01_20220727_225053,GRTE01,Mylu,Mylu
GRTE01_20220727_233306,GRTE01,Myvo,Myvo
GRTE01_20220727_233828,GRTE01,Myvo,Mylu
GRTE01_20220728_010949,GRTE01,Lano,Lano
GRTE01_20220728_011041,GRTE01,Mylu,Mylu
GRTE01_20220728_013038,GRTE01,Laci,Laci
GRTE01_20220728_015039,GRTE01,Mylu,NoID
GRTE01_20220728_043155,GRTE01,Mylu,Mylu
GRTE01_20220729_005047,GRTE01,Myvo,Mylu
GRTE01_20220729_013858,GRTE01,Laci,Laci
GRTE01_20220729_030303,GRTE01,Myev,Myse
GRTE01_20220729_034722,GRTE01,Lano,Epfu
GRTE01_20220729_040408,GRTE01,Myvo,Mylu
GRTE01_20220729_040645,GRTE01,Myvo,Myvo
GRTE01_20220729_045219,GRTE01,Myvo,Myvo
GRTE01_20220729_050145,GRTE01,Mylu,Mylu
GRTE01_20220730_213233,GRTE01,Lano,Epfu
GRTE01_20220730_215257,GRTE01,Laci,NoID
GRTE01_20220730_223858,GRTE01,Laci,Laci
GRTE01_20220730_224213,GRTE01,Epfu,Epfu
GRTE01_20220730_232616,GRTE01,Laci,Laci
GRTE01_20220731_024952,GRTE01,Myvo,Mylu
GRTE01_20220731_025954,GRTE01,Lano,Lano
GRTE01_20220731_030838,GRTE01,Myvo,Mylu
GRTE01_20220731_034636,GRTE01,Myvo,Myvo
GRTE01_20220731_213246,GRTE01,Mylu,Mylu
GRTE01_20220731_215939,GRTE01,Lano,NoID
GRTE01_20220731_222719,GRTE01,Myvo,Myvo
GRTE01_20220731_222736,GRTE01,Myvo,Myvo
GRTE01_20220731_230529,GRTE01,Mylu,Mylu
GRTE01_20220731_232946,GRTE01,Myev,Myse
GRTE01_20220731_233427,GRTE01,Laci,Laci
GRTE01_20220731_235913,GRTE01,Laci,Laci
GRTE01_20220801_000314,GRTE01,Myev,Myse
GRTE01_20220801_001540,GRTE01,Mylu,Mylu
GRTE01_20220801_014434,GRTE01,Myev,Myse
GRTE01_20220801_014526,GRTE01,Myev,Myse
GRTE01_20220801_022656,GRTE01,Myvo,Myvo
GRTE01_20220801_023313,GRTE01,Myvo,Myvo
GRTE01_20220801_023353,GRTE01,Myvo,Mylu
GRTE01_20220801_224512,GRTE01,Myvo,Myvo
GRTE01_20220801_225528,GRTE01,Myvo,Mylu
GRTE01_20220801_231245,GRTE01,Lano,Epfu
GRTE01_20220801_232258,GRTE01,Laci,Laci
GRTE01_20220801_233558,GRTE01,Myvo,Myvo
GRTE01_20220802_000535,GRTE01,Laci,NoID
GRTE01_20220802_004019,GRTE01,Myvo,Myvo
GRTE01_20220802_004905,GRTE01,Lano,Lano
GRTE01_20220802_010211,GRTE01,Lano,Lano
GRTE01_20220802_020039,GRTE01,Myvo,Mylu
GRTE01_20220802_021628,GRTE01,Myev,Myse
GRTE01_20220802_022605,GRTE01,Myvo,NoID
GRTE01_20220802_022855,GRTE01,Myvo,NoID
GRTE01_20220802_041119,GRTE01,Myvo,Myvo
GRTE01_20220802_043635,GRTE01,Laci,Laci
GRTE01_20220802_050839,GRTE01,Myvo,Mylu
GRTE01_20220802_055558,GRTE01,Mylu,Mylu
GRTE01_20220803_031523,GRTE01,Myvo,Myvo
GRTE01_20220803_211005,GRTE01,Laci,Laci
GRTE01_20220803_224135,GRTE01,Myvo,Mylu
GRTE01_20220803_224257,GRTE01,Myvo,Myse
GRTE01_20220803_224411,GRTE01,Myvo,Mylu
GRTE01_20220803_224428,GRTE01,Myvo,NoID
GRTE01_20220803_225230,GRTE01,Myev,Myse
GRTE01_20220803_234549,GRTE01,Myev,Myse
GRTE01_20220804_003416,GRTE01,Laci,Laci
GRTE01_20220804_004350,GRTE01,Myvo,Myvo
GRTE01_20220804_011310,GRTE01,Laci,Laci
GRTE01_20220804_020642,GRTE01,Lano,Lano
GRTE01_20220804_021138,GRTE01,Mylu,NoID
GRTE01_20220804_022638,GRTE01,Laci,Laci
GRTE01_20220804_024844,GRTE01,Mylu,Mylu
GRTE01_20220804_025259,GRTE01,Myvo,Mylu
GRTE01_20220804_030654,GRTE01,Laci,Laci
GRTE01_20220804_051019,GRTE01,Laci,Laci
GRTE01_20220804_225216,GRTE01,Laci,Laci
GRTE01_20220805_004728,GRTE01,Mylu,Labo
GRTE01_20220805_013541,GRTE01,Laci,Laci
GRTE01_20220805_014451,GRTE01,Laci,Laci
GRTE01_20220805_015218,GRTE01,Laci,Laci
GRTE01_20220805_020033,GRTE01,Lano,Epfu
GRTE01_20220805_021259,GRTE01,Laci,Laci
GRTE01_20220805_022659,GRTE01,Lano,Epfu
GRTE01_20220805_022742,GRTE01,Lano,NoID
GRTE01_20220805_023301,GRTE01,Lano,NoID
GRTE01_20220805_025444,GRTE01,Lano,Lano
GRTE01_20220805_034214,GRTE01,Lano,Epfu
GRTE01_20220805_034954,GRTE01,Laci,Laci
GRTE01_20220805_035451,GRTE01,Laci,Laci
GRTE01_20220805_213016,GRTE01,Lano,Epfu
GRTE01_20220805_213538,GRTE01,Lano,Lano
GRTE01_20220805_222333,GRTE01,Myvo,Myvo
GRTE01_20220805_222436,GRTE01,Laci,Laci
GRTE01_20220805_234705,GRTE01,Lano,Lano
GRTE01_20220806_000614,GRTE01,Laci,Laci
GRTE01_20220806_001121,GRTE01,Laci,Laci
GRTE01_20220806_002343,GRTE01,Lano,Lano
GRTE01_20220806_003600,GRTE01,Lano,Lano
GRTE01_20220806_004304,GRTE01,Laci,Laci
GRTE01_20220806_005244,GRTE01,Laci,Laci
GRTE01_20220806_005423,GRTE01,Myvo,Mylu
GRTE01_20220806_005533,GRTE01,Myvo,NoID
GRTE01_20220806_010237,GRTE01,Laci,Laci
GRTE01_20220806_014557,GRTE01,Myvo,Mylu
GRTE01_20220806_025436,GRTE01,Laci,Laci
GRTE01_20220806_025759,GRTE01,Laci,Laci
GRTE01_20220807_213327,GRTE01,Lano,Epfu
GRTE01_20220807_220741,GRTE01,Lano,Lano
GRTE01_20220807_222721,GRTE01,Myvo,Myse
GRTE01_20220807_230131,GRTE01,Mylu,Mylu
GRTE01_20220807_231700,GRTE01,Lano,Lano
GRTE01_20220807_231845,GRTE01,Myyu,Myyu
GRTE01_20220808_011532,GRTE01,Laci,Laci
GRTE01_20220808_012802,GRTE01,Laci,Laci
GRTE01_20220808_014600,GRTE01,Lano,Lano
GRTE01_20220808_030018,GRTE01,Laci,Laci
GRTE01_20220808_220359,GRTE01,Lano,Epfu
GRTE01_20220808_222807,GRTE01,Lano,NoID
GRTE01_20220808_222838,GRTE01,Lano,Lano
GRTE01_20220808_225256,GRTE01,Lano,NoID
GRTE01_20220808_233622,GRTE01,Lano,Lano
GRTE01_20220809_002912,GRTE01,Mylu,Mylu
GRTE01_20220809_023108,GRTE01,Lano,Lano
GRTE01_20220809_030144,GRTE01,Laci,Laci
GRTE01_20220809_040955,GRTE01,Lano,Epfu
GRTE01_20220809_043350,GRTE01,Myvo,NoID
GRTE01_20220809_045734,GRTE01,Lano,Lano
GRTE01_20220809_210930,GRTE01,Mylu,Mylu
