rec_key,site,id_a,id_b
GRTE01_20240709_225212,GRTE01,Lano,Lano
GRTE01_20240709_225810,GRTE01,Myyu,Myyu
GRTE01_20240709_232506,GRTE01,Lano,Lano
GRTE01_20240709_232700,GRTE01,Lano,Lano
GRTE01_20240709_232800,GRTE01,Mylu,Labo
GRTE01_20240709_235618,GRTE01,Lano,Lano
GRTE01_20240710_001120,GRTE01,Laci,Laci
GRTE01_20240710_001351,GRTE01,Lano,Lano
GRTE01_20240710_002139,GRTE01,Lano,Lano
GRTE01_20240710_002204,GRTE01,Lano,Lano
GRTE01_20240710_003759,GRTE01,Myev,Myse
GRTE01_20240710_010151,GRTE01,Lano,Lano
GRTE01_20240710_010852,GRTE01,Lano,Lano
GRTE01_20240710_014609,GRTE01,Mylu,Mylu
GRTE01_20240710_022410,GRTE01,Lano,Lano
GRTE01_20240710_024953,GRTE01,Lano,Lano
GRTE01_20240710_032022,GRTE01,Lano,Lano
GRTE01_20240710_033534,GRTE01,Lano,Lano
GRTE01_20240710_043331,GRTE01,Mylu,Mylu
GRTE01_20240710_220456,GRTE01,Mylu,Mylu
GRTE01_20240710_220601,GRTE01,Mylu,Mylu
GRTE01_20240710_220853,GRTE01,Lano,Lano
GRTE01_20240710_221353,GRTE01,Laci,Laci
GRTE01_20240710_223340,GRTE01,Mylu,Mylu
GRTE01_20240710_223540,GRTE01,Mylu,Mylu
GRTE01_20240710_223722,GRTE01,Mylu,Mylu
GRTE01_20240710_223955,GRTE01,Mylu,Mylu
GRTE01_20240710_224154,GRTE01,Mylu,Mylu
GRTE01_20240710_224233,GRTE01,Mylu,Mylu
GRTE01_20240710_224324,GRTE01,Mylu,Mylu
GRTE01_20240710_224755,GRTE01,Mylu,Mylu
GRTE01_20240710_224920,GRTE01,Mylu,Mylu
GRTE01_20240710_225011,GRTE01,Mylu,Mylu
GRTE01_20240710_225210,GRTE01,Mylu,Mylu
GRTE01_20240710_225534,GRTE01,Mylu,Mylu
GRTE01_20240710_225642,GRTE01,Mylu,Mylu
GRTE01_20240710_225807,GRTE01,Mylu,Mylu
GRTE01_20240710_225824,GRTE01,Mylu,Mylu
GRTE01_20240710_230023,GRTE01,Mylu,Mylu
GRTE01_20240710_233103,GRTE01,Mylu,Mylu
GRTE01_20240710_233714,GRTE01,Mylu,Mylu
GRTE01_20240710_234441,GRTE01,Mylu,Mylu
GRTE01_20240710_235834,GRTE01,Lano,Lano
GRTE01_20240711_001753,GRTE01,Lano,Lano
GRTE01_20240711_002424,GRTE01,Laci,Laci
GRTE01_20240711_005316,GRTE01,Lano,Epfu
GRTE01_20240711_005814,GRTE01,Laci,Laci
GRTE01_20240711_010323,GRTE01,Lano,Lano
GRTE01_20240711_012306,GRTE01,Lano,Lano
GRTE01_20240711_013957,GRTE01,Lano,Lano
GRTE01_20240711_015421,GRTE01,Lano,Lano
GRTE01_20240711_020017,GRTE01,Laci,Laci
GRTE01_20240711_023925,GRTE01,Lano,Lano
GRTE01_20240711_025719,GRTE01,Lano,Lano
GRTE01_20240711_031654,GRTE01,Lano,Lano
GRTE01_20240711_041807,GRTE01,Laci,Laci
GRTE01_20240711_041852,GRTE01,Laci,Laci
GRTE01_20240711_220000,GRTE01,Laci,Laci
GRTE01_20240711_220629,GRTE01,Laci,Laci
GRTE01_20240711_221210,GRTE01,Lano,Lano
GRTE01_20240711_221716,GRTE01,Lano,Lano
GRTE01_20240711_222522,GRTE01,Lano,Lano
GRTE01_20240711_223510,GRTE01,Laci,Laci
GRTE01_20240711_224300,GRTE01,Lano,Epfu
GRTE01_20240711_224830,GRTE01,Mylu,Mylu
GRTE01_20240711_224939,GRTE01,Mylu,Mylu
GRTE01_20240711_225016,GRTE01,Mylu,Mylu
GRTE01_20240711_225320,GRTE01,Mylu,Mylu
GRTE01_20240711_231045,GRTE01,Laci,Laci
GRTE01_20240711_232347,GRTE01,Lano,Lano
GRTE01_20240711_232809,GRTE01,Laci,Laci
GRTE01_20240711_233624,GRTE01,Epfu,Epfu
GRTE01_20240711_234206,GRTE01,Lano,Lano
GRTE01_20240711_234550,GRTE01,Epfu,Epfu
GRTE01_20240711_235355,GRTE01,Lano,Lano
GRTE01_20240712_002513,GRTE01,Myci,Myci
GRTE01_20240712_004226,GRTE01,Lano,Lano
GRTE01_20240712_005153,GRTE01,Myyu,Myyu
GRTE01_20240712_010827,GRTE01,Lano,Lano
GRTE01_20240712_010837,GRTE01,Lano,Lano
GRTE01_20240712_011950,GRTE01,Lano,Epfu
GRTE01_20240712_012044,GRTE01,Lano,Myvo
GRTE01_20240712_022137,GRTE01,Mylu,Mylu
GRTE01_20240712_033636,GRTE01,Lano,Lano
GRTE01_20240712_035902,GRTE01,Mylu,Mylu
GRTE01_20240712_042943,GRTE01,Laci,Laci
GRTE01_20240712_045859,GRTE01,Lano,NoID
GRTE01_20240712_215539,GRTE01,Lano,Lano
GRTE01_20240712_215754,GRTE01,Lano,Lano
GRTE01_20240712_215949,GRTE01,Mylu,Mylu
GRTE01_20240712_220122,GRTE01,Lano,Lano
GRTE01_20240712_220905,GRTE01,Myev,Myse
GRTE01_20240712_222859,GRTE01,Epfu,Epfu
GRTE01_20240712_222959,GRTE01,Laci,Laci
GRTE01_20240712_223624,GRTE01,Epfu,Epfu
GRTE01_20240712_223655,GRTE01,Lano,Lano
GRTE01_20240712_224631,GRTE01,Mylu,Labo
GRTE01_20240712_224743,GRTE01,Mylu,Mylu
GRTE01_20240712_225120,GRTE01,Laci,Laci
GRTE01_20240712_225358,GRTE01,Epfu,Epfu
GRTE01_20240712_225630,GRTE01,Lano,Epfu
GRTE01_20240712_230610,GRTE01,Lano,Epfu
GRTE01_20240713_000215,GRTE01,Mylu,Mylu
GRTE01_20240713_001724,GRTE01,Mylu,Labo
GRTE01_20240713_001853,GRTE01,Lano,Lano
GRTE01_20240713_002459,GRTE01,Lano,Lano
GRTE01_20240713_002846,GRTE01,Lano,Lano
GRTE01_20240713_003153,GRTE01,Lano,Lano
GRTE01_20240713_010019,GRTE01,Lano,Lano
GRTE01_20240713_021452,GRTE01,Lano,Lano
GRTE01_20240713_030234,GRTE01,Lano,Lano
GRTE01_20240713_031852,GRTE01,Lano,Lano
GRTE01_20240713_041051,GRTE01,Mylu,Mylu
GRTE01_20240713_214047,GRTE01,Lano,Lano
GRTE01_20240713_215243,GRTE01,Laci,Laci
GRTE01_20240713_220441,GRTE01,Laci,Laci
GRTE01_20240713_220635,GRTE01,Lano,Lano
GRTE01_20240713_221946,GRTE01,Mylu,Mylu
GRTE01_20240713_222623,GRTE01,Mylu,Mylu
GRTE01_20240713_224329,GRTE01,Lano,Lano
GRTE01_20240713_225128,GRTE01,Mylu,Mylu
GRTE01_20240713_230143,GRTE01,Mylu,Mylu
GRTE01_20240713_230336,GRTE01,Lano,Lano
GRTE01_20240713_231053,GRTE01,Myev,Myse
GRTE01_20240713_231937,GRTE01,Laci,Laci
GRTE01_20240713_232922,GRTE01,Lano,Epfu
GRTE01_20240713_234629,GRTE01,Lano,Lano
GRTE01_20240714_000924,GRTE01,Lano,Lano
GRTE01_20240714_000939,GRTE01,Lano,Lano
GRTE01_20240714_000956,GRTE01,Lano,Lano
GRTE01_20240714_001309,GRTE01,Lano,Lano
GRTE01_20240714_002451,GRTE01,Lano,Lano
GRTE01_20240714_002503,GRTE01,Lano,Lano
GRTE01_20240714_002604,GRTE01,Lano,Lano
GRTE01_20240714_002647,GRTE01,Lano,Lano
GRTE01_20240714_002704,GRTE01,Lano,Lano
GRTE01_20240714_002729,GRTE01,Lano,Lano
GRTE01_20240714_002817,GRTE01,Lano,Lano
GRTE01_20240714_002845,GRTE01,Lano,Lano
GRTE01_20240714_003133,GRTE01,Lano,Lano
GRTE01_20240714_003228,GRTE01,Lano,Lano
GRTE01_20240714_003313,GRTE01,Lano,Lano
GRTE01_20240714_003342,GRTE01,Lano,Lano
GRTE01_20240714_003411,GRTE01,Lano,Lano
GRTE01_20240714_003447,GRTE01,Lano,Lano
GRTE01_20240714_003513,GRTE01,Lano,Lano
GRTE01_20240714_003528,GRTE01,Lano,Lano
GRTE01_20240714_003546,GRTE01,Lano,Lano
GRTE01_20240714_003603,GRTE01,Lano,Lano
GRTE01_20240714_003623,GRTE01,Lano,Lano
GRTE01_20240714_003746,GRTE01,Lano,Lano
GRTE01_20240714_003945,GRTE01,Lano,Lano
GRTE01_20240714_004144,GRTE01,Lano,Lano
GRTE01_20240714_004219,GRTE01,Lano,Lano
GRTE01_20240714_004245,GRTE01,Lano,Lano
GRTE01_20240714_004312,GRTE01,Lano,Lano
GRTE01_20240714_004329,GRTE01,Lano,Lano
GRTE01_20240714_004345,GRTE01,Lano,Lano
GRTE01_20240714_004404,GRTE01,Lano,Lano
GRTE01_20240714_004442,GRTE01,Lano,Lano
GRTE01_20240714_004506,GRTE01,Lano,Lano
GRTE01_20240714_004526,GRTE01,Lano,Lano
GRTE01_20240714_004552,GRTE01,Lano,Lano
GRTE01_20240714_004643,GRTE01,Lano,Lano
GRTE01_20240714_004717,GRTE01,Lano,Lano
GRTE01_20240714_004732,GRTE01,Lano,Lano
GRTE01_20240714_004813,GRTE01,Lano,Lano
GRTE01_20240714_004912,GRTE01,Lano,Lano
GRTE01_20240714_005001,GRTE01,Lano,Lano
GRTE01_20240714_005020,GRTE01,Lano,Lano
GRTE01_20240714_005040,GRTE01,Lano,Lano
GRTE01_20240714_005100,GRTE01,Lano,Lano
GRTE01_20240714_005253,GRTE01,Lano,Lano
GRTE01_20240714_005308,GRTE01,Lano,Lano
GRTE01_20240714_005329,GRTE01,Lano,Lano
GRTE01_20240714_005348,GRTE01,Lano,Lano
GRTE01_20240714_005405,GRTE01,Lano,Lano
GRTE01_20240714_005426,GRTE01,Lano,Lano
GRTE01_20240714_005443,GRTE01,Lano,Lano
GRTE01_20240714_005500,GRTE01,Lano,Lano
GRTE01_20240714_005517,GRTE01,Lano,Lano
GRTE01_20240714_005536,GRTE01,Lano,Lano
GRTE01_20240714_005557,GRTE01,Lano,Lano
GRTE01_20240714_005613,GRTE01,Lano,Lano
GRTE01_20240714_005634,GRTE01,Lano,Lano
GRTE01_20240714_005657,GRTE01,Lano,Lano
GRTE01_20240714_005719,GRTE01,Lano,Lano
GRTE01_20240714_005810,GRTE01,Lano,Lano
GRTE01_20240714_005850,GRTE01,Lano,Lano
GRTE01_20240714_005907,GRTE01,Lano,Lano
GRTE01_20240714_005924,GRTE01,Lano,Lano
GRTE01_20240714_005952,GRTE01,Lano,Lano
GRTE01_20240714_010404,GRTE01,Lano,Lano
GRTE01_20240714_010421,GRTE01,Lano,Lano
GRTE01_20240714_010438,GRTE01,Lano,Lano
GRTE01_20240714_010446,GRTE01,Lano,Lano
GRTE01_20240714_010521,GRTE01,Lano,Lano
GRTE01_20240714_010609,GRTE01,Lano,Lano
GRTE01_20240714_010711,GRTE01,Lano,Lano
GRTE01_20240714_010728,GRTE01,Lano,Lano
GRTE01_20240714_010745,GRTE01,Lano,Lano
GRTE01_20240714_010756,GRTE01,Lano,Lano
GRTE01_20240714_010836,GRTE01,Lano,Lano
GRTE01_20240714_010916,GRTE01,Lano,Lano
GRTE01_20240714_010933,GRTE01,Lano,Lano
GRTE01_20240714_010946,GRTE01,Lano,Lano
GRTE01_20240714_011022,GRTE01,Lano,Lano
GRTE01_20240714_011224,GRTE01,Lano,Lano
GRTE01_20240714_011244,GRTE01,Lano,Lano
GRTE01_20240714_021933,GRTE01,Lano,Lano
GRTE01_20240714_022725,GRTE01,Laci,Laci
GRTE01_20240714_023914,GRTE01,Lano,Lano
GRTE01_20240714_030507,GRTE01,Lano,Epfu
GRTE01_20240714_030853,GRTE01,Lano,Lano
GRTE01_20240714_032207,GRTE01,Lano,Lano
GRTE01_20240714_033524,GRTE01,Laci,Laci
GRTE01_20240714_034149,GRTE01,Lano,Lano
GRTE01_20240714_213316,GRTE01,Lano,Lano
GRTE01_20240714_214833,GRTE01,Lano,Lano
GRTE01_20240714_214847,GRTE01,Mylu,Labo
GRTE01_20240714_215148,GRTE01,Epfu,Epfu
GRTE01_20240714_215832,GRTE01,Laci,Laci
GRTE01_20240714_220808,GRTE01,Laci,Laci
GRTE01_20240714_221325,GRTE01,Epfu,Epfu
GRTE01_20240714_221520,GRTE01,Mylu,NoID
GRTE01_20240714_225835,GRTE01,Anpa,Mylu
GRTE01_20240714_231337,GRTE01,Myyu,Myyu
GRTE01_20240714_231553,GRTE01,Lano,Lano
GRTE01_20240714_233159,GRTE01,Laci,Laci
GRTE01_20240714_235028,GRTE01,Laci,Laci
GRTE01_20240714_235615,GRTE01,Mylu,Mylu
GRTE01_20240714_235942,GRTE01,Lano,Epfu
GRTE01_20240715_000224,GRTE01,Lano,Epfu
GRTE01_20240715_000306,GRTE01,Lano,Lano
GRTE01_20240715_000349,GRTE01,Lano,Lano
GRTE01_20240715_000928,GRTE01,Laci,Laci
GRTE01_20240715_001157,GRTE01,Laci,Laci
GRTE01_20240715_001810,GRTE01,Mylu,Labo
GRTE01_20240715_004556,GRTE01,Lano,Lano
GRTE01_20240715_005331,GRTE01,Laci,Laci
GRTE01_20240715_005440,GRTE01,Lano,Lano
GRTE01_20240715_013647,GRTE01,Lano,Lano
GRTE01_20240715_013749,GRTE01,Lano,Lano
GRTE01_20240715_013806,GRTE01,Lano,Lano
GRTE01_20240715_013902,GRTE01,Lano,Lano
GRTE01_20240715_013927,GRTE01,Lano,Lano
GRTE01_20240715_020805,GRTE01,Lano,Epfu
GRTE01_20240715_023413,GRTE01,Mylu,Mylu
GRTE01_20240715_024652,GRTE01,Mylu,Mylu
GRTE01_20240715_030419,GRTE01,Lano,Epfu
GRTE01_20240715_032658,GRTE01,Lano,Lano
GRTE01_20240715_051638,GRTE01,Mylu,Mylu
GRTE01_20240715_214229,GRTE01,Epfu,Epfu
GRTE01_20240715_214912,GRTE01,Myyu,Myyu
GRTE01_20240715_215337,GRTE01,Laci,Laci
GRTE01_20240715_215645,GRTE01,Laci,Laci
GRTE01_20240715_221036,GRTE01,Mylu,Labo
